Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2012,Biotechnology,45.76%," $77,886,335,995 ",8635,501," $176,522,892,744.35 ",296," $5,453,468,716 ",2,40%,44%,77,Cloud Servers,514321
Japan,2020,Cloud Computing,14.77%," $22,809,380,757 ",8878,209," $147,307,366,921.50 ",239," $45,664,771,979 ",3,53%,73%,179,Robots,643117
China,2002,Robotics,24.90%," $60,692,813,715 ",9932,1276," $124,545,398,067.27 ",296," $12,677,188,448 ",4,94%,49%,36,Semiconductors,347411
China,2018,Semiconductor,30.80%," $55,600,955,246 ",8821,1026," $47,041,987,881.32 ",352," $25,592,068,185 ",7,59%,15%,42,Semiconductors,250469
China,2018,Robotics,22.63%," $45,611,646,436 ",5599,1565," $10,955,533,937.26 ",440," $20,895,762,313 ",2,57%,53%,148,Semiconductors,775334
Japan,2003,Robotics,32.01%," $25,327,018,993 ",1445,1631," $156,337,970,334.22 ",453," $34,565,125,866 ",15,68%,87%,111,Robots,710688
China,2013,Semiconductor,15.25%," $50,905,033,827 ",4218,1651," $122,988,295,186.21 ",25," $8,785,041,626 ",17,71%,87%,61,5G Equipment,208069
Japan,2000,Software,23.03%," $47,350,855,430 ",4254,809," $100,452,509,124.50 ",46," $31,662,975,417 ",18,97%,67%,105,Semiconductors,691894
China,2005,AI,30.26%," $49,258,667,990 ",2984,438," $132,118,594,770.09 ",243," $4,386,997,504 ",19,45%,13%,67,Cloud Servers,443721
China,2001,Telecommunications,21.70%," $57,276,223,939 ",2803,1600," $97,196,819,061.57 ",422," $2,728,585,855 ",12,94%,26%,58,AI Chips,618099
China,2015,Semiconductor,7.29%," $68,658,240,140 ",2188,1613," $101,333,864,249.21 ",289," $16,534,219,879 ",7,57%,63%,74,5G Equipment,833753
China,2019,Biotechnology,12.65%," $81,538,519,332 ",6489,1161," $134,035,577,333.80 ",12," $5,372,961,152 ",16,57%,55%,81,AI Chips,969639
Japan,2009,Robotics,12.23%," $27,186,301,069 ",6377,1913," $58,184,529,551.22 ",305," $36,587,931,895 ",17,77%,71%,43,Semiconductors,843280
Japan,2003,Semiconductor,34.85%," $95,331,309,218 ",6621,1876," $155,498,291,536.25 ",76," $33,799,571,732 ",4,42%,51%,162,Semiconductors,247766
Japan,2012,Cloud Computing,21.94%," $47,144,309,254 ",9936,475," $48,503,396,204.99 ",144," $6,581,472,346 ",9,76%,62%,131,Robots,43123
China,2000,Cloud Computing,12.19%," $19,224,371,518 ",5829,908," $106,245,156,055.79 ",319," $8,217,783,958 ",5,96%,24%,108,Semiconductors,435546
Japan,2005,Cloud Computing,38.59%," $67,834,081,613 ",1354,1401," $32,117,746,415.40 ",474," $8,541,178,130 ",10,87%,53%,63,Cloud Servers,701536
Japan,2022,Cloud Computing,22.47%," $18,630,635,340 ",2757,1241," $32,870,975,001.01 ",434," $29,529,845,545 ",13,47%,27%,16,Cloud Servers,437928
China,2001,AI,7.69%," $99,591,409,590 ",2025,629," $97,405,607,000.43 ",113," $3,087,263,198 ",16,97%,39%,109,5G Equipment,240934
Japan,2007,Telecommunications,35.18%," $26,169,898,450 ",9291,922," $51,063,695,148.46 ",104," $34,735,184,121 ",19,65%,67%,88,Robots,388538
Japan,2013,Robotics,19.74%," $49,606,724,074 ",4541,1311," $198,697,534,489.58 ",111," $46,960,992,319 ",15,50%,87%,84,Semiconductors,290502
Japan,2009,Software,44.70%," $51,962,352,788 ",6988,287," $129,966,176,784.89 ",205," $9,531,543,425 ",19,71%,42%,158,5G Equipment,307291
Japan,2006,Biotechnology,45.49%," $70,775,466,189 ",3065,933," $95,610,859,400.09 ",139," $33,201,053,663 ",7,76%,84%,56,Semiconductors,151586
Japan,2018,Software,13.20%," $65,361,803,479 ",7789,1449," $64,522,569,370.26 ",217," $44,904,383,642 ",18,42%,15%,154,AI Chips,294382
China,2020,Biotechnology,48.09%," $43,276,978,747 ",9379,984," $8,781,911,557.94 ",382," $15,913,609,757 ",12,41%,73%,49,Cloud Servers,185551
China,2003,AI,35.30%," $20,098,632,025 ",9599,781," $119,375,554,893.44 ",264," $48,994,011,236 ",13,72%,90%,128,Cloud Servers,76070
Japan,2018,Telecommunications,35.77%," $91,477,916,043 ",859,805," $45,700,862,414.84 ",437," $28,314,888,704 ",19,92%,47%,71,Cloud Servers,307508
China,2020,Biotechnology,16.07%," $24,220,201,273 ",4942,848," $87,507,497,647.50 ",214," $12,747,714,736 ",13,55%,77%,73,Cloud Servers,253400
Japan,2005,Robotics,7.13%," $53,633,259,216 ",2286,1557," $181,092,195,487.10 ",479," $24,626,512,693 ",12,64%,21%,168,Robots,214388
China,2000,Software,13.35%," $64,322,094,524 ",9897,1290," $30,157,959,016.76 ",210," $46,965,223,055 ",1,43%,55%,108,Semiconductors,123930
China,2009,Software,14.41%," $95,518,873,370 ",6850,1282," $29,494,161,699.00 ",420," $6,977,020,547 ",16,73%,11%,171,Robots,443065
China,2023,Cloud Computing,24.60%," $75,468,074,231 ",2203,1769," $13,611,805,989.14 ",493," $47,067,297,061 ",5,81%,81%,139,AI Chips,16614
Japan,2003,Biotechnology,20.32%," $52,226,726,104 ",5219,1877," $98,054,777,817.16 ",77," $11,852,652,261 ",19,45%,36%,61,Cloud Servers,104240
China,2005,Software,5.42%," $7,263,815,971 ",4247,1098," $4,323,411,560.43 ",452," $24,156,482,141 ",14,86%,90%,52,Cloud Servers,893671
China,2022,AI,28.64%," $18,464,844,100 ",7276,848," $38,790,250,336.47 ",416," $38,979,975,968 ",2,67%,41%,47,AI Chips,78086
China,2014,Robotics,44.83%," $61,800,506,709 ",3023,1396," $85,359,186,647.90 ",223," $16,876,106,070 ",14,42%,73%,196,Cloud Servers,667370
China,2013,Robotics,35.64%," $5,632,134,128 ",9374,307," $32,406,223,189.11 ",432," $18,436,048,377 ",8,47%,65%,4,Robots,803980
China,2011,Robotics,19.64%," $58,676,696,569 ",5313,750," $55,433,455,244.39 ",61," $39,058,478,377 ",1,42%,66%,71,Semiconductors,243665
Japan,2020,Software,44.50%," $3,139,406,011 ",5504,276," $21,794,671,228.09 ",77," $29,056,005,946 ",8,84%,64%,50,Cloud Servers,636223
China,2014,Telecommunications,42.10%," $55,225,993,537 ",1842,971," $88,113,786,797.20 ",482," $19,537,955,794 ",7,54%,36%,86,5G Equipment,560102
China,2012,Robotics,43.40%," $14,252,881,228 ",1558,1899," $77,407,612,224.91 ",292," $17,840,223,105 ",17,75%,37%,176,5G Equipment,632456
Japan,2008,Robotics,45.30%," $55,163,905,195 ",1744,1794," $58,804,837,444.68 ",316," $35,610,480,150 ",17,40%,19%,30,Robots,378307
Japan,2011,Robotics,5.82%," $75,412,611,865 ",9105,910," $155,446,835,538.59 ",19," $8,652,961,986 ",13,66%,77%,113,5G Equipment,345994
China,2006,Semiconductor,18.99%," $12,576,105,844 ",7158,1060," $15,364,446,180.53 ",435," $45,693,961,094 ",16,94%,57%,41,Cloud Servers,221253
China,2009,Telecommunications,17.55%," $98,796,154,127 ",5298,1343," $171,298,390,418.28 ",28," $44,974,019,640 ",2,71%,55%,87,5G Equipment,877415
China,2010,Telecommunications,42.24%," $94,123,246,481 ",8906,119," $184,920,743,459.24 ",203," $17,402,556,123 ",3,55%,65%,118,5G Equipment,648310
Japan,2018,Semiconductor,24.12%," $42,193,098,431 ",3606,1729," $151,269,076,928.31 ",273," $37,227,842,390 ",19,81%,89%,65,Semiconductors,336519
Japan,2019,Semiconductor,49.78%," $14,110,426,531 ",2548,391," $102,004,690,199.07 ",266," $22,216,839,599 ",18,49%,88%,173,Cloud Servers,280612
China,2006,Software,39.15%," $99,803,585,576 ",4711,417," $24,783,836,696.27 ",219," $14,696,844,323 ",15,64%,74%,126,Robots,950600
Japan,2000,Semiconductor,25.12%," $25,824,418,695 ",6369,1849," $33,180,427,327.84 ",190," $31,265,322,571 ",16,93%,14%,99,Cloud Servers,594929
China,2002,Semiconductor,40.33%," $33,166,760,085 ",1896,68," $139,900,817,019.88 ",151," $15,922,795,219 ",10,94%,70%,21,Robots,501388
China,2021,Biotechnology,41.29%," $51,185,308,923 ",3463,1636," $46,389,636,907.28 ",157," $48,546,855,493 ",11,83%,13%,121,5G Equipment,127244
Japan,2023,Semiconductor,22.73%," $6,559,473,513 ",725,1553," $67,556,977,448.50 ",124," $16,474,247,661 ",16,74%,79%,100,AI Chips,877468
China,2019,Biotechnology,16.34%," $95,219,676,400 ",9555,1324," $172,448,417,511.57 ",410," $782,891,725 ",4,76%,23%,184,AI Chips,366752
Japan,2014,Semiconductor,36.45%," $68,266,079,068 ",861,1582," $78,135,001,664.77 ",473," $43,113,839,689 ",5,71%,32%,31,Semiconductors,301351
Japan,2013,Software,31.10%," $28,908,416,870 ",896,1601," $132,990,685,039.08 ",478," $44,601,170,833 ",11,89%,32%,199,AI Chips,274142
Japan,2006,AI,20.85%," $67,000,764,918 ",3367,1865," $191,963,186,164.44 ",441," $21,238,325,484 ",2,68%,24%,128,AI Chips,647986
Japan,2004,AI,7.66%," $85,227,249,346 ",5126,1083," $182,338,589,483.77 ",198," $31,197,685,896 ",8,50%,20%,121,5G Equipment,91544
China,2010,Software,8.36%," $74,171,914,136 ",170,1400," $157,580,667,279.96 ",93," $33,179,296,526 ",18,66%,64%,74,AI Chips,891046
China,2023,Cloud Computing,22.99%," $10,349,487,878 ",660,547," $14,759,530,772.63 ",11," $3,358,137,128 ",9,70%,85%,155,Cloud Servers,914380
Japan,2013,Software,44.21%," $92,709,834,538 ",8680,230," $45,475,952,193.27 ",277," $19,882,016,340 ",17,53%,47%,109,Cloud Servers,933360
China,2011,Software,45.00%," $42,907,133,276 ",2397,979," $163,787,085,030.58 ",356," $36,823,684,482 ",3,77%,16%,82,Cloud Servers,957256
China,2000,AI,30.33%," $97,888,663,278 ",2522,829," $75,143,063,305.16 ",111," $26,215,012,860 ",17,56%,88%,185,Robots,27862
Japan,2002,Robotics,36.61%," $89,927,600,740 ",1929,1589," $194,797,583,014.50 ",490," $9,165,946,847 ",11,70%,44%,30,AI Chips,271425
Japan,2005,Semiconductor,5.08%," $79,864,444,803 ",1949,440," $167,435,987,989.27 ",346," $22,591,427,887 ",8,82%,22%,157,Cloud Servers,937549
Japan,2004,Robotics,49.69%," $88,276,305,894 ",3857,94," $28,249,683,768.34 ",219," $12,065,990,088 ",6,89%,58%,15,Robots,973253
China,2011,Semiconductor,32.23%," $59,926,978,517 ",4000,1476," $49,706,668,982.37 ",392," $5,455,261,055 ",5,47%,85%,170,5G Equipment,287284
Japan,2016,Biotechnology,42.04%," $23,140,220,869 ",9640,1111," $104,197,467,581.47 ",335," $48,504,948,934 ",16,87%,34%,84,5G Equipment,710648
Japan,2003,AI,13.41%," $49,409,556,844 ",9299,1927," $195,085,209,480.40 ",142," $33,758,986,163 ",17,57%,86%,153,AI Chips,167111
Japan,2005,Cloud Computing,45.19%," $29,475,434,673 ",7179,1861," $159,176,576,152.83 ",348," $30,370,611,488 ",18,63%,85%,16,Cloud Servers,37718
China,2009,Telecommunications,48.63%," $95,400,842,500 ",6604,1028," $18,623,751,370.32 ",461," $5,917,783,533 ",15,76%,20%,181,Semiconductors,37104
China,2017,AI,29.28%," $85,146,257,694 ",3918,1575," $61,628,012,098.26 ",307," $37,213,489,553 ",16,48%,54%,106,Cloud Servers,75666
China,2006,Biotechnology,10.70%," $17,639,581,687 ",1254,695," $60,178,628,227.23 ",156," $12,805,053,888 ",3,81%,68%,58,Cloud Servers,438542
China,2002,Robotics,30.46%," $96,271,599,335 ",4518,1440," $2,462,617,934.93 ",276," $8,391,407,055 ",13,96%,21%,120,Cloud Servers,107662
Japan,2013,Telecommunications,39.16%," $80,900,510,857 ",1877,1188," $93,796,821,339.20 ",446," $28,877,863,114 ",11,67%,52%,50,AI Chips,900889
China,2023,Semiconductor,27.71%," $80,749,081,488 ",3452,340," $18,556,860,580.53 ",58," $16,073,213,442 ",15,83%,36%,163,5G Equipment,145031
Japan,2016,Robotics,41.67%," $9,313,500,461 ",2539,80," $92,180,038,016.26 ",13," $19,833,360,408 ",8,52%,61%,192,5G Equipment,463124
China,2013,Telecommunications,23.76%," $65,751,759,647 ",7561,1260," $18,173,320,742.69 ",160," $13,396,538,465 ",15,92%,22%,180,5G Equipment,83267
Japan,2005,Biotechnology,27.55%," $8,772,496,908 ",1334,580," $100,218,901,874.92 ",294," $22,589,522,430 ",12,75%,79%,104,5G Equipment,853159
China,2009,Robotics,5.64%," $8,099,926,003 ",1150,269," $27,295,688,952.15 ",476," $46,228,909,498 ",14,66%,77%,2,5G Equipment,777672
China,2007,Biotechnology,40.57%," $36,327,046,517 ",4185,1866," $46,083,210,864.91 ",315," $43,410,195,034 ",5,99%,70%,140,5G Equipment,819309
Japan,2000,Cloud Computing,31.91%," $47,227,662,094 ",8423,1995," $159,984,360,344.62 ",419," $15,773,005,334 ",12,86%,19%,180,Semiconductors,361134
Japan,2004,Semiconductor,10.81%," $65,641,381,576 ",3305,1036," $151,893,176,425.84 ",322," $37,192,518,062 ",14,55%,73%,136,5G Equipment,7874
Japan,2023,Semiconductor,45.99%," $56,575,820,426 ",3732,1799," $85,258,931,918.91 ",175," $43,913,188,250 ",8,67%,33%,134,Cloud Servers,258684
China,2004,Biotechnology,32.36%," $51,336,315,107 ",4152,1989," $36,878,674,253.11 ",74," $48,151,181,715 ",13,44%,55%,103,Semiconductors,711203
China,2018,Robotics,45.60%," $52,375,555,360 ",9192,1824," $179,810,952,401.05 ",70," $23,493,346,852 ",12,65%,16%,55,Semiconductors,502168
China,2022,Telecommunications,6.05%," $65,595,476,245 ",7424,192," $1,411,704,625.07 ",43," $2,053,829,620 ",15,80%,28%,59,5G Equipment,682369
Japan,2023,Telecommunications,12.98%," $17,755,077,203 ",527,1679," $93,877,608,865.10 ",483," $44,959,418,182 ",1,48%,28%,1,AI Chips,921432
Japan,2008,Biotechnology,38.19%," $91,065,808,553 ",7196,1655," $30,755,600,559.12 ",213," $39,779,453,250 ",18,87%,53%,7,AI Chips,385308
Japan,2000,Software,49.95%," $82,483,223,978 ",1740,1253," $118,256,774,821.37 ",467," $45,861,619,809 ",2,76%,48%,51,Cloud Servers,437202
China,2014,AI,46.73%," $83,350,513,939 ",7993,571," $21,995,398,887.93 ",479," $33,986,149,095 ",19,47%,89%,176,5G Equipment,881229
China,2023,Telecommunications,6.05%," $21,947,479,627 ",6385,164," $104,391,167,573.84 ",322," $36,154,013,396 ",13,40%,31%,7,AI Chips,583101
China,2011,AI,32.71%," $71,465,471,703 ",5216,1336," $39,327,079,466.06 ",388," $2,346,750,558 ",18,84%,22%,95,5G Equipment,329444
Japan,2014,Robotics,46.15%," $31,973,864,387 ",891,59," $20,869,351,846.36 ",246," $17,753,335,994 ",5,80%,40%,67,Semiconductors,258917
Japan,2010,Robotics,45.13%," $73,136,528,510 ",9737,180," $66,614,960,211.25 ",444," $47,669,688,371 ",6,73%,47%,145,Robots,150051
Japan,2022,Telecommunications,15.51%," $60,607,104,222 ",1245,1769," $131,565,022,894.47 ",381," $9,623,638,043 ",17,53%,19%,64,Cloud Servers,943719
China,2006,Software,16.88%," $44,240,893,612 ",8797,1931," $63,907,059,981.82 ",54," $272,610,962 ",14,83%,78%,79,AI Chips,838799
Japan,2003,AI,27.50%," $27,235,520,187 ",1861,1888," $123,390,546,327.43 ",26," $28,558,695,009 ",3,65%,86%,66,Robots,56310
Japan,2007,Robotics,19.30%," $13,348,517,363 ",8429,695," $133,090,427,873.60 ",361," $47,169,879,468 ",19,92%,30%,59,AI Chips,972755
Japan,2013,Cloud Computing,23.93%," $80,814,123,064 ",3537,477," $179,626,026,546.48 ",352," $31,133,331,225 ",1,83%,20%,34,AI Chips,193225
Japan,2021,Robotics,40.42%," $22,704,329,912 ",5552,1521," $78,197,055,317.44 ",29," $10,996,853,674 ",16,56%,41%,92,Cloud Servers,870424
Japan,2009,AI,38.83%," $96,984,023,778 ",5757,1730," $137,505,587,646.15 ",431," $747,360,793 ",9,82%,66%,123,Robots,819384
China,2016,Telecommunications,22.42%," $28,816,461,214 ",1794,1976," $93,165,863,125.26 ",376," $32,534,382,982 ",19,85%,45%,186,Semiconductors,844470
Japan,2008,Software,35.49%," $93,150,739,166 ",4620,935," $130,993,017,190.88 ",491," $40,067,507,383 ",14,50%,80%,134,AI Chips,946274
China,2014,Robotics,21.56%," $48,471,366,321 ",2926,1715," $8,183,142,200.97 ",397," $20,164,604,765 ",18,64%,56%,83,Cloud Servers,11367
Japan,2015,AI,9.42%," $63,138,368,126 ",3123,114," $89,439,685,629.26 ",364," $14,082,895,920 ",9,78%,90%,12,Semiconductors,105255
China,2002,AI,43.52%," $18,952,157,504 ",3436,289," $2,940,987,595.94 ",251," $5,297,988,481 ",7,43%,27%,57,Cloud Servers,581056
China,2008,Robotics,27.37%," $54,690,050,896 ",8584,843," $116,908,870,185.00 ",426," $31,318,476,076 ",1,42%,70%,158,5G Equipment,421403
China,2022,AI,24.27%," $6,037,767,708 ",1225,362," $155,853,563,332.86 ",273," $21,020,746,810 ",19,95%,78%,199,Robots,488117
China,2007,Cloud Computing,18.24%," $54,244,702,084 ",408,1520," $145,550,827,306.82 ",120," $10,458,180,447 ",1,74%,20%,26,Semiconductors,798262
Japan,2018,AI,7.41%," $29,576,162,721 ",1789,916," $34,769,840,986.13 ",44," $33,652,536,643 ",5,70%,48%,83,Robots,259486
Japan,2016,Software,37.92%," $48,569,025,843 ",1791,614," $121,729,833,837.90 ",124," $32,251,258,070 ",13,94%,56%,55,Robots,828027
Japan,2021,Robotics,37.51%," $96,167,070,081 ",7096,1936," $147,012,348,836.80 ",436," $4,987,702,782 ",8,53%,11%,124,Robots,802819
China,2003,Telecommunications,24.76%," $46,125,607,024 ",5025,433," $136,911,063,569.63 ",465," $3,840,489,852 ",1,89%,63%,32,Cloud Servers,958228
Japan,2001,AI,14.18%," $49,926,989,843 ",5679,1201," $197,201,587,752.64 ",368," $44,499,706,149 ",10,97%,82%,142,Semiconductors,625355
Japan,2013,Semiconductor,40.97%," $5,664,509,907 ",4563,1415," $83,699,100,099.90 ",162," $36,764,834,584 ",5,62%,39%,189,Cloud Servers,379252
China,2019,Telecommunications,18.12%," $30,924,509,606 ",6221,1124," $192,682,916,536.34 ",415," $5,041,742,575 ",14,96%,16%,176,Cloud Servers,898684
Japan,2006,Telecommunications,36.14%," $64,678,310,667 ",8532,539," $116,610,390,547.63 ",484," $3,868,136,376 ",18,93%,90%,143,Robots,642280
China,2001,Telecommunications,40.45%," $35,649,567,409 ",7846,799," $23,900,596,969.94 ",477," $5,942,103,928 ",10,98%,32%,37,Robots,697113
Japan,2003,Semiconductor,38.45%," $7,680,944,221 ",1095,1385," $108,837,485,927.65 ",413," $35,257,171,489 ",7,55%,58%,57,Robots,752277
Japan,2019,Software,48.65%," $65,713,061,118 ",5228,1812," $35,988,242,239.64 ",495," $22,667,719,425 ",16,62%,71%,18,AI Chips,54537
China,2017,Biotechnology,35.54%," $95,533,332,310 ",4156,68," $68,616,996,019.06 ",50," $44,404,674,860 ",8,81%,48%,30,AI Chips,682620
China,2010,Biotechnology,13.53%," $5,400,157,832 ",9011,1342," $71,658,525,801.73 ",54," $12,341,444,679 ",10,57%,45%,109,AI Chips,888256
Japan,2003,Biotechnology,9.90%," $19,254,898,350 ",4090,1069," $184,263,965,055.21 ",462," $44,809,973,354 ",9,47%,73%,122,Cloud Servers,211213
Japan,2011,Software,6.89%," $84,356,931,489 ",6809,758," $27,384,364,172.86 ",388," $9,143,980,535 ",18,61%,51%,191,Semiconductors,433949
China,2016,Biotechnology,17.33%," $73,955,373,934 ",4426,150," $78,084,473,986.21 ",350," $5,806,298,140 ",8,95%,42%,181,Semiconductors,129316
